OBJECTID,COMPKEY,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SE_ANNO_CAD_DATA,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,OVERRIDECOMMENT,BLOCK_URL,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,Shape__Length
7273111,1001,10,70,100070,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,1ST AVE,1ST AVE,INSVC,DISTRICT1, ,N,CHERRY ST,COLUMBIA ST,2,Minor Arterial, ,700,25,NW,N, , ,306.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND CHERRY ST,NW,30354.0,1ST AVE AND COLUMBIA ST,SE,30348.0,1270072.893,223536.4085,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,29,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0070,0.0,ART,N,306.062269
7273112,1002,10,80,100080,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,COLUMBIA ST,MARION ST,2,Minor Arterial, ,800,25,NW,N, , ,306.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND COLUMBIA ST,NW,30348.0,1ST AVE AND MARION ST,SE,29622.0,1269916.982,223799.7439,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,29,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0080,1.0,ART,N,305.9960385
7273113,1003,10,90,100090,1ST AVE BETWEEN MARION ST AND MADISON ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,MARION ST,MADISON ST,2,Minor Arterial, ,900,25,NW,N, , ,306.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND MARION ST,NW,29622.0,1ST AVE AND MADISON ST,SE,29621.0,1269761.261,224063.0003,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,29,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0090,1.0,ART,N,305.7326033
7273115,1007,10,130,100130,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,UNIVERSITY ST,UNION ST,2,Minor Arterial, ,1300,25,NW,N, , ,426.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND UNIVERSITY ST,NW,29604.0,1ST AVE AND UNION ST,SE,29599.0,1269107.114,225167.7148,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,42,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0130,6.0,ART,N,425.9626424
7273116,1008,10,140,100140,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,UNION ST,PIKE ST,2,Minor Arterial, ,1400,25,NW,N, , ,426.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND UNION ST,NW,29599.0,1ST AVE AND PIKE ST,SE,29593.0,1268890.208,225534.2326,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,42,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0140,6.0,ART,N,425.8196129
7273117,1009,10,150,100150,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,PIKE ST,PINE ST,2,Minor Arterial, ,1500,25,NW,N, , ,426.0,104.0,AC/PCC,10/31/2022 12:00:00 AM,PCC,11/04/2017 00:00,1ST AVE AND PIKE ST,NW,29593.0,1ST AVE AND PINE ST,SE,29585.0,1268673.275,225900.774,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,51,58,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0150,5.0,ART,N,426.0315623
7273118,1010,10,160,100160,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,PINE ST,STEWART ST,2,Minor Arterial, ,1600,25,NW,N, , ,198.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND PINE ST,NW,29585.0,1ST AVE AND STEWART ST,SE,29584.0,1268514.463,226169.0752,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,51,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0160,3.0,ART,N,197.5286293
7273119,1012,10,200,100200,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,VIRGINIA ST,LENORA ST,2,Minor Arterial, ,2000,25,NW,N, , ,426.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND VIRGINIA ST,NW,29582.0,1ST AVE AND LENORA ST,SE,29560.0,1267999.347,226692.9689,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,39,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0200,3.0,ART,N,425.9791365
7273120,1013,10,210,100210,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,LENORA ST,BLANCHARD ST,2,Minor Arterial, ,2100,25,NW,N, , ,426.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND LENORA ST,NW,29560.0,1ST AVE AND BLANCHARD ST,SE,29703.0,1267684.158,226979.7531,System.Byte[],N,N,N,Downtown Neighborhood,Unknown,39,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0210,4.0,ART,N,426.286462
7273121,1014,10,220,100220,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,BLANCHARD ST,BELL ST,2,Minor Arterial, ,2200,25,NW,N, , ,426.0,52.0,AC/PCC,10/31/2022 12:00:00 AM,Unknown,Unknown,1ST AVE AND BLANCHARD ST,NW,29703.0,1ST AVE AND BELL ST,SE,29701.0,1267368.977,227266.4868,System.Byte[],Y,N,N,Downtown Neighborhood,Unknown,39,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0220,2.0,ART,N,425.8996988
