-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Surface Irradiance,2020,28.5,-105.5,3.9343,4.7177,5.43,6.961,8.0938,7.7964,7.3608,7.2115,5.8207,5.7602,4.7477,3.9874,5.9882
Surface Irradiance,2020,28.5,-106.5,4.0694,4.7957,5.448,7.183,8.0412,7.6241,6.9905,6.9751,5.6623,5.7962,4.8391,4.0046,5.9546
Surface Irradiance,2020,28.5,-107.5,4.2341,4.8257,5.5265,7.3394,8.0378,7.2214,6.1824,6.5362,5.8622,5.8171,4.8264,4.057,5.873
Surface Irradiance,2020,29.5,-105.5,3.8964,4.4124,5.1703,7.0978,8.1084,8.0143,7.3356,7.0265,5.9628,5.6362,4.6442,3.768,5.9254
Surface Irradiance,2020,29.5,-106.5,3.9986,4.5982,5.1898,7.271,8.0794,7.6745,7.0898,6.9665,6.0348,5.6717,4.6865,3.8278,5.9258
Surface Irradiance,2020,29.5,-107.5,4.0932,4.734,5.3813,7.4448,8.0446,7.4623,6.4349,6.6631,6.0034,5.6738,4.6471,3.9005,5.8742
Surface Irradiance,2021,28.5,-105.5,4.4064,5.1662,6.4963,7.1486,7.7981,7.505,6.9598,6.3842,6.2162,5.3215,4.3512,3.661,5.9537
Surface Irradiance,2021,28.5,-106.5,4.3594,5.4178,6.7894,7.2888,7.9363,7.1794,6.6955,6.4793,6.1039,5.4869,4.4374,3.601,5.983
Surface Irradiance,2021,28.5,-107.5,4.3267,5.4569,6.8414,7.5557,8.0873,7.0277,6.3439,6.0989,5.8178,5.562,4.385,3.6406,5.9297
Surface Irradiance,2021,29.5,-105.5,4.1496,5.0582,6.4039,6.9787,7.831,7.3188,7.0853,6.3826,6.1999,5.4391,4.2173,3.4862,5.8826
Surface Irradiance,2021,29.5,-106.5,4.1405,5.1948,6.5969,7.099,7.9598,7.2828,6.7874,6.3605,5.9866,5.5476,4.243,3.4649,5.8915
Surface Irradiance,2021,29.5,-107.5,4.1784,5.297,6.7538,7.3553,8.1228,7.1381,6.5894,6.1534,5.8097,5.6136,4.2053,3.4819,5.8939
Surface Irradiance,2022,28.5,-105.5,4.3222,5.4019,6.9346,7.6558,8.117,7.6339,7.1083,6.0905,5.7374,5.2003,4.4638,3.8798,6.0473
Surface Irradiance,2022,28.5,-106.5,4.3457,5.5706,7.0135,7.9003,8.2116,7.2082,6.9372,5.7084,5.4576,5.263,4.6169,3.858,6.0079
Surface Irradiance,2022,28.5,-107.5,4.3766,5.5646,7.0308,7.933,8.4478,6.3982,6.1915,5.347,5.2246,5.3813,4.8144,3.8093,5.8769
Surface Irradiance,2022,29.5,-105.5,4.212,5.1331,6.7762,7.7045,8.1425,7.5451,7.0886,5.8706,5.939,5.0146,4.3111,3.6288,5.9491
Surface Irradiance,2022,29.5,-106.5,4.2463,5.3306,6.8374,7.8353,8.275,7.2211,6.9283,5.6518,5.699,5.0782,4.4395,3.5957,5.929
Surface Irradiance,2022,29.5,-107.5,4.2634,5.3786,6.8304,7.915,8.4317,6.5114,6.5712,5.4535,5.4564,5.1749,4.5238,3.6034,5.8438
Surface Irradiance,2023,28.5,-105.5,4.2869,4.9474,5.8805,7.5814,7.2163,7.7683,7.7311,6.8518,6.5484,4.9301,3.8342,4.0663,5.9736
Surface Irradiance,2023,28.5,-106.5,4.3822,5.0126,6.0175,7.7371,7.332,7.5593,7.6658,6.7051,6.3046,4.9464,3.9718,4.1422,5.9849
Surface Irradiance,2023,28.5,-107.5,4.4602,5.1809,6.3257,7.9404,7.519,7.4114,7.1568,6.1188,6.0612,5.045,4.2379,4.1014,5.9647
Surface Irradiance,2023,29.5,-105.5,4.1393,4.7834,5.844,7.6891,7.0678,7.7551,7.7215,6.7819,6.3876,5.0842,3.7954,3.9319,5.9191
Surface Irradiance,2023,29.5,-106.5,4.1554,4.9505,5.9827,7.8348,7.3123,7.5108,7.7275,6.7519,6.2585,5.1302,4.0454,3.9782,5.9734
Surface Irradiance,2023,29.5,-107.5,4.2449,5.0664,6.1368,7.8785,7.3843,7.4431,7.4098,6.367,6.0886,5.0789,4.2257,3.977,5.9438
Surface Irradiance,2024,28.5,-105.5,4.3498,4.8146,6.1248,7.4122,8.2466,7.6783,7.0618,6.8446,5.9179,5.6174,4.5646,4.0082,6.0564
Surface Irradiance,2024,28.5,-106.5,4.4112,4.9882,6.4706,7.7446,8.4374,7.5535,6.6408,6.4246,6.0326,5.5812,4.6214,4.1698,6.0914
Surface Irradiance,2024,28.5,-107.5,4.4162,5.0717,6.5484,7.9248,8.6112,7.3152,6.1387,5.9338,6.3653,5.4847,4.675,4.2727,6.0631
Surface Irradiance,2024,29.5,-105.5,4.1998,4.6831,5.8762,7.355,8.3508,7.7054,7.1206,6.7906,5.9914,5.5102,4.374,3.7826,5.9813
Surface Irradiance,2024,29.5,-106.5,4.1633,4.7904,6.0823,7.6277,8.4602,7.6738,6.8222,6.4582,6.0744,5.4958,4.417,3.9653,6.0043
Surface Irradiance,2024,29.5,-107.5,4.1482,4.873,6.2095,7.776,8.6045,7.4676,6.63,6.0806,6.2354,5.3849,4.4347,4.0586,5.9928
Surface Irradiance,2025,28.5,-105.5,4.32,5.4775,6.6283,7.3783,7.5456,7.399,7.2288,6.6617,5.6167,5.5022,4.6068,,
Surface Irradiance,2025,28.5,-106.5,4.2972,5.5721,6.8582,7.6819,7.7722,7.1474,6.8232,6.6734,5.4509,5.3525,4.6277,,
Surface Irradiance,2025,28.5,-107.5,4.2377,5.6626,6.8563,7.739,8.0825,7.0591,6.3384,6.1762,5.1917,5.2416,4.6512,,
Surface Irradiance,2025,29.5,-105.5,4.2394,5.2742,6.3564,7.3133,7.5569,7.4105,7.1587,6.5954,5.5798,5.304,4.4578,,
Surface Irradiance,2025,29.5,-106.5,4.2223,5.377,6.5798,7.6258,7.8382,7.1868,6.9266,6.7147,5.243,5.2968,4.4686,,
Surface Irradiance,2025,29.5,-107.5,4.1146,5.4864,6.7025,7.7498,8.0774,7.1438,6.5107,6.4298,5.2282,5.2462,4.5106,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Precipitation,2020,28,-105,0.07,0.02,0.05,0.01,0.19,0.36,0.8,0.09,1.45,0,0.01,0.44,0.29
Precipitation,2020,28,-105.625,0.07,0.01,0.05,0.01,0.07,0.39,1.4,0.15,1.76,0,0.01,0.45,0.36
Precipitation,2020,28,-106.25,0.08,0.37,0.26,0.05,0.13,0.6,2.34,0.54,2.15,0,0.04,0.54,0.59
Precipitation,2020,28,-106.875,0.23,1.26,0.91,0.18,0.22,0.93,3.73,1.37,2.3,0,0.06,0.67,0.99
Precipitation,2020,28,-107.5,0.25,1.33,0.92,0.21,0.16,0.94,3.69,1.48,2.25,0,0.04,0.73,1
Precipitation,2020,28.5,-105,0.1,0.05,0.08,0.01,0.15,0.29,0.64,0.23,1.7,0,0,0.57,0.32
Precipitation,2020,28.5,-105.625,0.06,0.02,0.04,0.01,0.02,0.28,1.1,0.25,1.87,0,0,0.52,0.35
Precipitation,2020,28.5,-106.25,0.05,0.15,0.16,0.02,0.05,0.37,1.9,0.41,1.94,0,0.02,0.49,0.46
