YEAR,LAT,LON,MONTH,MONTH_NUM,season,solar_irradiance_wm2,precipitation_mm,wind_speed_ms,temperature_c
2020,28.5,-107.5,APR,4,Spring,7.3394,0.12,3.98,13.12
2020,28.5,-107.5,AUG,8,Summer,6.5362,0.96,2.59,22.2
2020,28.5,-107.5,DEC,12,Winter,4.057,0.53,3.52,4.05
2020,28.5,-107.5,FEB,2,Winter,4.8257,0.86,3.87,5.82
2020,28.5,-107.5,JAN,1,Winter,4.2341,0.17,3.32,4.81
2020,28.5,-107.5,JUL,7,Summer,6.1824,3.33,2.42,21.43
2020,28.5,-107.5,JUN,6,Summer,7.2214,0.72,2.78,22.43
2020,28.5,-107.5,MAR,3,Spring,5.5265,0.85,4.45,9.7
2020,28.5,-107.5,MAY,5,Spring,8.0378,0.15,3.03,18.64
2020,28.5,-107.5,NOV,11,Fall,4.8264,0.05,3.44,10.81
2020,28.5,-107.5,OCT,10,Fall,5.8171,0.0,2.91,15.19
2020,28.5,-107.5,SEP,9,Fall,5.8622,2.02,2.71,18.47
2020,29.5,-107.5,APR,4,Spring,7.4448,0.04,4.74,15.22
2020,29.5,-107.5,AUG,8,Summer,6.6631,0.8,2.8,24.56
2020,29.5,-107.5,DEC,12,Winter,3.9005,0.47,4.01,4.23
2020,29.5,-107.5,FEB,2,Winter,4.734,0.26,4.42,7.02
2020,29.5,-107.5,JAN,1,Winter,4.0932,0.09,3.91,5.51
2020,29.5,-107.5,JUL,7,Summer,6.4349,3.37,2.73,24.44
2020,29.5,-107.5,JUN,6,Summer,7.4623,0.3,3.57,25.84
2020,29.5,-107.5,MAR,3,Spring,5.3813,0.55,5.45,10.99
2020,29.5,-107.5,MAY,5,Spring,8.0446,0.07,3.77,21.56
2020,29.5,-107.5,NOV,11,Fall,4.6471,0.02,3.94,11.98
2020,29.5,-107.5,OCT,10,Fall,5.6738,0.0,3.37,17.07
2020,29.5,-107.5,SEP,9,Fall,6.0034,0.56,3.19,21.03
2021,28.5,-107.5,APR,4,Spring,7.5557,0.06,4.16,13.94
2021,28.5,-107.5,AUG,8,Summer,6.0989,4.02,2.25,19.9
2021,28.5,-107.5,DEC,12,Winter,3.6406,1.02,3.81,7.59
2021,28.5,-107.5,FEB,2,Winter,5.4569,0.5,4.29,7.29
2021,28.5,-107.5,JAN,1,Winter,4.3267,0.88,3.47,4.23
2021,28.5,-107.5,JUL,7,Summer,6.3439,3.93,2.27,19.97
2021,28.5,-107.5,JUN,6,Summer,7.0277,2.56,3.06,22.72
2021,28.5,-107.5,MAR,3,Spring,6.8414,0.01,4.68,9.31
2021,28.5,-107.5,MAY,5,Spring,8.0873,0.19,3.73,17.97
2021,28.5,-107.5,NOV,11,Fall,4.385,0.52,2.63,10.45
2021,28.5,-107.5,OCT,10,Fall,5.562,0.13,3.22,14.83
2021,28.5,-107.5,SEP,9,Fall,5.8178,1.26,2.59,18.17
2021,29.5,-107.5,APR,4,Spring,7.3553,0.01,4.94,16.34
2021,29.5,-107.5,AUG,8,Summer,6.1534,2.63,2.42,22.08
2021,29.5,-107.5,DEC,12,Winter,3.4819,0.84,4.76,8.57
2021,29.5,-107.5,FEB,2,Winter,5.297,0.59,5.02,8.17
2021,29.5,-107.5,JAN,1,Winter,4.1784,0.54,4.12,4.61
2021,29.5,-107.5,JUL,7,Summer,6.5894,4.03,2.57,22.67
2021,29.5,-107.5,JUN,6,Summer,7.1381,1.41,3.66,25.99
2021,29.5,-107.5,MAR,3,Spring,6.7538,0.02,5.66,10.35
2021,29.5,-107.5,MAY,5,Spring,8.1228,0.07,4.49,20.89
2021,29.5,-107.5,NOV,11,Fall,4.2053,0.22,2.85,11.23
2021,29.5,-107.5,OCT,10,Fall,5.6136,0.05,3.88,16.32
2021,29.5,-107.5,SEP,9,Fall,5.8097,1.6,2.71,20.28
2022,28.5,-107.5,APR,4,Spring,7.933,0.0,3.97,15.08
2022,28.5,-107.5,AUG,8,Summer,5.347,8.97,2.05,18.95
2022,28.5,-107.5,DEC,12,Winter,3.8093,0.29,3.65,5.66
2022,28.5,-107.5,FEB,2,Winter,5.5646,0.16,4.08,5.22
2022,28.5,-107.5,JAN,1,Winter,4.3766,0.0,3.42,5.4
2022,28.5,-107.5,JUL,7,Summer,6.1915,3.65,2.13,21.38
2022,28.5,-107.5,JUN,6,Summer,6.3982,3.01,2.6,22.08
2022,28.5,-107.5,MAR,3,Spring,7.0308,0.0,4.24,8.79
2022,28.5,-107.5,MAY,5,Spring,8.4478,0.0,3.79,19.21
2022,28.5,-107.5,NOV,11,Fall,4.8144,0.02,3.54,7.06
2022,28.5,-107.5,OCT,10,Fall,5.3813,1.53,2.68,12.56
2022,28.5,-107.5,SEP,9,Fall,5.2246,2.32,2.51,17.7
2022,29.5,-107.5,APR,4,Spring,7.915,0.02,5.02,16.99
2022,29.5,-107.5,AUG,8,Summer,5.4535,4.95,2.34,21.29
2022,29.5,-107.5,DEC,12,Winter,3.6034,0.2,4.31,6.41
2022,29.5,-107.5,FEB,2,Winter,5.3786,0.09,4.84,5.99
2022,29.5,-107.5,JAN,1,Winter,4.2634,0.03,3.77,5.78
2022,29.5,-107.5,JUL,7,Summer,6.5712,3.03,2.41,23.85
2022,29.5,-107.5,JUN,6,Summer,6.5114,2.3,2.98,24.96
2022,29.5,-107.5,MAR,3,Spring,6.8304,0.0,4.86,10.08
2022,29.5,-107.5,MAY,5,Spring,8.4317,0.0,4.52,21.8
2022,29.5,-107.5,NOV,11,Fall,4.5238,0.03,4.02,8.11
2022,29.5,-107.5,OCT,10,Fall,5.1749,2.15,3.04,14.16
2022,29.5,-107.5,SEP,9,Fall,5.4564,1.54,2.76,20.06
2023,28.5,-107.5,APR,4,Spring,7.9404,0.02,3.92,13.38
2023,28.5,-107.5,AUG,8,Summer,6.1188,2.3,2.58,22.03
2023,28.5,-107.5,DEC,12,Winter,4.1014,0.06,3.1,5.82
2023,28.5,-107.5,FEB,2,Winter,5.1809,0.3,4.81,5.5
2023,28.5,-107.5,JAN,1,Winter,4.4602,0.1,4.53,4.53
2023,28.5,-107.5,JUL,7,Summer,7.1568,1.05,2.47,24.78
2023,28.5,-107.5,JUN,6,Summer,7.4114,0.1,3.05,21.9
2023,28.5,-107.5,MAR,3,Spring,6.3257,0.95,4.57,9.04
2023,28.5,-107.5,MAY,5,Spring,7.519,0.96,3.45,16.81
2023,28.5,-107.5,NOV,11,Fall,4.2379,0.33,3.29,10.71
2023,28.5,-107.5,OCT,10,Fall,5.045,0.67,2.72,15.93
2023,28.5,-107.5,SEP,9,Fall,6.0612,1.19,2.05,21.88
2023,29.5,-107.5,APR,4,Spring,7.8785,0.03,4.62,15.48
2023,29.5,-107.5,AUG,8,Summer,6.367,2.22,2.94,24.55
2023,29.5,-107.5,DEC,12,Winter,3.977,0.09,3.52,6.15
2023,29.5,-107.5,FEB,2,Winter,5.0664,0.34,5.81,6.33
2023,29.5,-107.5,JAN,1,Winter,4.2449,0.06,5.38,5.14
2023,29.5,-107.5,JUL,7,Summer,7.4098,0.81,3.02,28.26
2023,29.5,-107.5,JUN,6,Summer,7.4431,0.1,3.6,24.84
2023,29.5,-107.5,MAR,3,Spring,6.1368,0.43,5.55,10.43
2023,29.5,-107.5,MAY,5,Spring,7.3843,0.5,4.15,19.55
2023,29.5,-107.5,NOV,11,Fall,4.2257,0.23,3.59,11.36
2023,29.5,-107.5,OCT,10,Fall,5.0789,0.42,3.19,17.64
2023,29.5,-107.5,SEP,9,Fall,6.0886,1.06,2.51,24.35
2024,28.5,-107.5,APR,4,Spring,7.9248,0.02,4.5,13.31
2024,28.5,-107.5,AUG,8,Summer,5.9338,2.2,1.96,21.43
2024,28.5,-107.5,DEC,12,Winter,4.2727,0.0,3.21,7.03
2024,28.5,-107.5,FEB,2,Winter,5.0717,0.22,4.24,7.11
2024,28.5,-107.5,JAN,1,Winter,4.4162,0.52,4.07,4.47
2024,28.5,-107.5,JUL,7,Summer,6.1387,4.35,2.19,22.1
2024,28.5,-107.5,JUN,6,Summer,7.3152,0.76,3.31,24.27
2024,28.5,-107.5,MAR,3,Spring,6.5484,0.03,4.58,8.61
2024,28.5,-107.5,MAY,5,Spring,8.6112,0.0,4.39,18.61
2024,28.5,-107.5,NOV,11,Fall,4.675,0.02,3.55,9.46
2024,28.5,-107.5,OCT,10,Fall,5.4847,0.06,2.86,16.41
2024,28.5,-107.5,SEP,9,Fall,6.3653,0.75,2.62,19.61
2024,29.5,-107.5,APR,4,Spring,7.776,0.03,5.27,15.29
2024,29.5,-107.5,AUG,8,Summer,6.0806,1.5,2.25,24.53
2024,29.5,-107.5,DEC,12,Winter,4.0586,0.0,3.71,7.94
2024,29.5,-107.5,FEB,2,Winter,4.873,0.58,4.95,8.11
2024,29.5,-107.5,JAN,1,Winter,4.1482,0.31,4.62,5.13
2024,29.5,-107.5,JUL,7,Summer,6.63,2.29,2.68,25.4
2024,29.5,-107.5,JUN,6,Summer,7.4676,0.64,3.8,27.1
2024,29.5,-107.5,MAR,3,Spring,6.2095,0.14,5.3,10.07
2024,29.5,-107.5,MAY,5,Spring,8.6045,0.0,5.17,20.82
2024,29.5,-107.5,NOV,11,Fall,4.4347,0.16,3.95,10.61
2024,29.5,-107.5,OCT,10,Fall,5.3849,0.02,3.45,18.74
2024,29.5,-107.5,SEP,9,Fall,6.2354,0.49,3.04,21.95
2025,28.5,-107.5,APR,4,Spring,7.739,0.01,4.43,13.79
2025,28.5,-107.5,AUG,8,Summer,6.1762,2.91,1.99,20.89
2025,28.5,-107.5,FEB,2,Winter,5.6626,0.0,3.6,9.38
2025,28.5,-107.5,JAN,1,Winter,4.2377,0.63,3.85,3.66
2025,28.5,-107.5,JUL,7,Summer,6.3384,4.68,2.26,20.79
2025,28.5,-107.5,JUN,6,Summer,7.0591,3.71,2.47,22.64
2025,28.5,-107.5,MAR,3,Spring,6.8563,0.01,4.75,10.27
2025,28.5,-107.5,MAY,5,Spring,8.0825,0.21,4.11,17.82
2025,28.5,-107.5,NOV,11,Fall,4.6512,0.16,2.98,10.13
2025,28.5,-107.5,OCT,10,Fall,5.2416,0.86,2.8,15.89
2025,28.5,-107.5,SEP,9,Fall,5.1917,3.61,1.93,18.77
2025,29.5,-107.5,APR,4,Spring,7.7498,0.06,5.26,15.8
2025,29.5,-107.5,AUG,8,Summer,6.4298,2.86,2.31,23.43
2025,29.5,-107.5,FEB,2,Winter,5.4864,0.0,4.33,10.74
2025,29.5,-107.5,JAN,1,Winter,4.1146,0.89,4.35,3.76
2025,29.5,-107.5,JUL,7,Summer,6.5107,3.87,2.66,23.45
2025,29.5,-107.5,JUN,6,Summer,7.1438,3.05,3.11,25.56
2025,29.5,-107.5,MAR,3,Spring,6.7025,0.0,5.77,11.74
2025,29.5,-107.5,MAY,5,Spring,8.0774,0.06,4.69,20.11
2025,29.5,-107.5,NOV,11,Fall,4.5106,0.14,3.34,11.03
2025,29.5,-107.5,OCT,10,Fall,5.2462,1.58,3.32,17.18
2025,29.5,-107.5,SEP,9,Fall,5.2282,3.31,2.14,20.57
