Rape or attempted rape,Sexual assault,Robbery with a weapon,Robbery with a firearm or explosive,Robbery without a weapon,Physical attack or fight with a weapon,Physical attack or fight with a firearm or explosive device,Physical attack without a weapon,Threats of physical attack with a weapon,Threats of physical attack with a firearm or explosive device,Threats of physical attack without a weapon,Possession of a firearm or explosive device,Number of Schools,Percent of Schools Reporting 
0.0,297,5.0,0.0,109,66,18,15087,194,112,2341,109,1390.0,100.0
0.0,5,3.0,0.0,14,42,3,1828,25,17,322,11,506.0,100.0
9.0,667,2.0,2.0,583,113,6,17168,153,99,5677,74,2000.0,100.0
19.0,68,1.0,0.0,191,36,0,7447,97,36,960,42,1088.0,100.0
118.0,1417,127.0,76.0,1760,2218,363,99330,1828,878,50304,2219,10121.0,100.0
3.0,79,0.0,0.0,112,49,0,7841,125,9,1062,36,1908.0,100.0
3.0,162,8.0,3.0,89,181,4,13016,100,25,2175,57,1214.0,100.0
0.0,6,0.0,0.0,7,0,0,776,1,0,487,7,231.0,100.0
0.0,9,0.0,0.0,20,18,0,4502,35,1,1049,17,228.0,100.0
38.0,49,7.0,0.0,103,6,0,8393,88,23,4014,126,3976.0,100.0
48.0,1929,0.0,0.0,102,40,2,48667,80,30,11589,198,2416.0,100.0
4.0,141,0.0,0.0,12,0,0,0,11,3,483,4,292.0,100.0
8.0,50,5.0,3.0,155,35,3,2382,45,27,911,23,725.0,100.0
36.0,753,11.0,17.0,1017,422,6090,26116,424,400,7528,310,4145.0,100.0
11.0,488,122.0,26.0,539,343,42,17005,263,215,2922,152,1886.0,100.0
1.0,20,10.0,0.0,168,199,20,12852,143,52,1512,208,1343.0,100.0
26.0,69,2.0,1.0,94,105,15,10485,88,40,3845,35,1350.0,100.0
1.0,43,0.0,0.0,40,2,0,22516,26,174,441,166,1401.0,100.0
0.0,51,2.0,1.0,169,78,3,43275,51,14,7498,130,1365.0,100.0
0.0,19,0.0,0.0,41,27,2,1684,46,42,412,10,579.0,100.0
7.0,695,2.0,1.0,681,146,2,24753,155,81,4764,58,1414.0,87.836
45.0,204,4.0,3.0,382,293,8,13836,147,60,4286,63,1870.0,99.412
19.0,252,87.0,21.0,671,616,330,33573,356,191,5274,115,3559.0,100.0
7.0,195,5.0,0.0,393,223,8,19590,251,81,4896,77,2232.0,100.0
1.0,27,2.0,0.0,96,18,11,7088,72,20,894,103,960.0,100.0
60.0,433,57.0,28.0,898,378,61,22870,511,433,4901,120,2381.0,100.0
2.0,53,0.0,0.0,49,53,16,1579,57,35,269,12,823.0,96.233
2.0,132,0.0,0.0,81,126,2,10996,95,25,2996,15,1055.0,100.0
0.0,103,1.0,25.0,1627,17,6,12762,5301,139,3587,56,704.0,100.0
0.0,16,0.0,0.0,38,27,10,1858,35,24,533,1,491.0,100.0
2.0,101,0.0,0.0,182,95,3,7369,137,48,1654,57,2561.0,100.0
2.0,156,9.0,0.0,94,86,8,10074,287,26,1212,52,866.0,100.0
23.0,384,0.0,1.0,267,235,10,17203,290,103,3672,216,4873.0,100.0
52.0,110,2.0,0.0,45,32,2,42868,358,289,1522,138,2661.0,100.0
0.0,9,0.0,0.0,17,27,0,782,16,22,195,10,483.0,100.0
9.0,623,0.0,1.0,780,323,4,37046,594,220,5717,177,3593.0,100.0
9.0,189,3.0,1.0,553,82,23,12995,194,86,3115,228,1816.0,100.0
14.0,69,1.0,0.0,432,44,9,16369,82,29,3269,100,1289.0,100.0
24.0,266,30.0,16.0,337,397,24,15714,264,223,3450,111,3006.0,100.0
3.0,97,6.0,7.0,127,200,0,2914,250,30,894,24,312.0,100.0
6.0,258,0.0,3.0,251,181,0,12252,144,68,6593,97,1243.0,100.0
0.0,2,0.0,0.0,13,9,7,1834,34,4,2722,15,698.0,100.0
4.0,119,11.0,1.0,413,220,22,11336,266,149,2331,97,1777.0,100.0
23.0,265,36.0,8.0,777,396,26,50929,583,535,7265,221,8758.0,100.0
6.0,382,0.0,0.0,207,106,2,5208,120,37,1189,144,1029.0,100.0
0.0,3,0.0,0.0,20,53,0,947,29,22,388,12,302.0,100.0
18.0,494,1.0,0.0,576,80,0,23897,110,89,5369,102,1982.0,100.0
7.0,774,80.0,31.0,780,516,22,22173,571,231,6006,187,2339.0,100.0
0.0,30,0.0,0.0,40,6,0,5994,61,49,1433,58,691.0,100.0
13.0,325,7.0,7.0,279,203,29,33864,369,122,8531,172,2235.0,99.955
0.0,17,0.0,0.0,30,6,0,3099,13,7,483,3,366.0,100.0
2.0,9,1.0,0.0,19,4,1,293,2,1,86,11,1099.0,100.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
