Rape or attempted rape,Sexual assault,Robbery with a weapon,Robbery with a firearm or explosive,Robbery without a weapon,Physical attack or fight with a weapon,Physical attack or fight with a firearm or explosive device,Physical attack without a weapon,Threats of physical attack with a weapon,Threats of physical attack with a firearm or explosive device,Threats of physical attack without a weapon,Possession of a firearm or explosive device,Number of Schools,Percent of Schools Reporting
0,297,5,0,109,66,18,15087,194,112,2341,109,1390,100
0,5,3,0,14,42,3,1828,25,17,322,11,506,100
9,667,2,2,583,113,6,17168,153,99,5677,74,2000,100
19,68,1,0,191,36,0,7447,97,36,960,42,1088,100
118,1417,127,76,1760,2218,363,99330,1828,878,50304,2219,10121,100
3,79,0,0,112,49,0,7841,125,9,1062,36,1908,100
3,162,8,3,89,181,4,13016,100,25,2175,57,1214,100
0,6,0,0,7,0,0,776,1,0,487,7,231,100
0,9,0,0,20,18,0,4502,35,1,1049,17,228,100
38,49,7,0,103,6,0,8393,88,23,4014,126,3976,100
48,1929,0,0,102,40,2,48667,80,30,11589,198,2416,100
4,141,0,0,12,0,0,0,11,3,483,4,292,100
8,50,5,3,155,35,3,2382,45,27,911,23,725,100
36,753,11,17,1017,422,6090,26116,424,400,7528,310,4145,100
11,488,122,26,539,343,42,17005,263,215,2922,152,1886,100
1,20,10,0,168,199,20,12852,143,52,1512,208,1343,100
26,69,2,1,94,105,15,10485,88,40,3845,35,1350,100
1,43,0,0,40,2,0,22516,26,174,441,166,1401,100
0,51,2,1,169,78,3,43275,51,14,7498,130,1365,100
0,19,0,0,41,27,2,1684,46,42,412,10,579,100
7,695,2,1,681,146,2,24753,155,81,4764,58,1414,87.836
45,204,4,3,382,293,8,13836,147,60,4286,63,1870,99.412
19,252,87,21,671,616,330,33573,356,191,5274,115,3559,100
7,195,5,0,393,223,8,19590,251,81,4896,77,2232,100
1,27,2,0,96,18,11,7088,72,20,894,103,960,100
60,433,57,28,898,378,61,22870,511,433,4901,120,2381,100
2,53,0,0,49,53,16,1579,57,35,269,12,823,96.233
2,132,0,0,81,126,2,10996,95,25,2996,15,1055,100
0,103,1,25,1627,17,6,12762,5301,139,3587,56,704,100
0,16,0,0,38,27,10,1858,35,24,533,1,491,100
2,101,0,0,182,95,3,7369,137,48,1654,57,2561,100
2,156,9,0,94,86,8,10074,287,26,1212,52,866,100
23,384,0,1,267,235,10,17203,290,103,3672,216,4873,100
52,110,2,0,45,32,2,42868,358,289,1522,138,2661,100
0,9,0,0,17,27,0,782,16,22,195,10,483,100
9,623,0,1,780,323,4,37046,594,220,5717,177,3593,100
9,189,3,1,553,82,23,12995,194,86,3115,228,1816,100
14,69,1,0,432,44,9,16369,82,29,3269,100,1289,100
24,266,30,16,337,397,24,15714,264,223,3450,111,3006,100
3,97,6,7,127,200,0,2914,250,30,894,24,312,100
6,258,0,3,251,181,0,12252,144,68,6593,97,1243,100
0,2,0,0,13,9,7,1834,34,4,2722,15,698,100
4,119,11,1,413,220,22,11336,266,149,2331,97,1777,100
23,265,36,8,777,396,26,50929,583,535,7265,221,8758,100
6,382,0,0,207,106,2,5208,120,37,1189,144,1029,100
0,3,0,0,20,53,0,947,29,22,388,12,302,100
18,494,1,0,576,80,0,23897,110,89,5369,102,1982,100
7,774,80,31,780,516,22,22173,571,231,6006,187,2339,100
0,30,0,0,40,6,0,5994,61,49,1433,58,691,100
13,325,7,7,279,203,29,33864,369,122,8531,172,2235,99.955
0,17,0,0,30,6,0,3099,13,7,483,3,366,100
2,9,1,0,19,4,1,293,2,1,86,11,1099,100
